ligand	receptor	sources	references	database	evidence
CDH1	ITGA2	PMID:12392763	PMID:12392763	CellPhoneDB	curated
CDH1	ITGB1	PMID:12392763	PMID:12392763	CellPhoneDB	curated
CDH1	ITGAE	uniprot		CellPhoneDB	curated
CDH1	ITGB7	uniprot		CellPhoneDB	curated
CDH1	KLRG1	PMC3030123		CellPhoneDB	curated
CDH2	FCER2	Shilts screen - VALIDATED		CellPhoneDB	curated
CADM1	NECTIN3	uniprot		CellPhoneDB	curated
CADM3	CADM1	uniprot		CellPhoneDB	curated
CADM3	CADM4	uniprot		CellPhoneDB	curated
CADM3	EPB41L1	uniprot		CellPhoneDB	curated
CADM3	NECTIN3	uniprot		CellPhoneDB	curated
CEACAM1	CD209	PMID:16282604;PMID:16246332	PMID:16282604;PMID:16246332	CellPhoneDB	curated
CEACAM1	CEACAM6	PMID:21982860	PMID:21982860	CellPhoneDB	curated
CEACAM1	CEACAM8	PMID:24743304	PMID:24743304	CellPhoneDB	curated
CEACAM1	SELE	PMID:1378450	PMID:1378450	CellPhoneDB	curated
CEACAM5	CD1D	PMID:24104458	PMID:24104458	CellPhoneDB	curated
CEACAM5	CD8A	PMID:24104458	PMID:24104458	CellPhoneDB	curated
CEACAM5	CEACAM1	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108		CellPhoneDB	curated
CEACAM5	CEACAM6	uniprot		CellPhoneDB	curated
CEACAM8	CEACAM6	PMID:11590190	PMID:11590190	CellPhoneDB	curated
COL10A1	ITGA1	uniprot		CellPhoneDB	curated
COL10A1	ITGB1	uniprot		CellPhoneDB	curated
COL10A1	ITGA10	uniprot		CellPhoneDB	curated
COL10A1	ITGA11	uniprot		CellPhoneDB	curated
COL10A1	ITGA2	uniprot		CellPhoneDB	curated
COL11A1	ITGA1	uniprot		CellPhoneDB	curated
COL11A1	ITGB1	uniprot		CellPhoneDB	curated
COL11A1	ITGA10	uniprot		CellPhoneDB	curated
COL11A1	ITGA11	uniprot		CellPhoneDB	curated
COL11A1	ITGA2	uniprot		CellPhoneDB	curated
COL11A2	ITGA1	uniprot		CellPhoneDB	curated
COL11A2	ITGB1	uniprot		CellPhoneDB	curated
COL11A2	ITGA10	uniprot		CellPhoneDB	curated
COL11A2	ITGA11	uniprot		CellPhoneDB	curated
COL11A2	ITGA2	uniprot		CellPhoneDB	curated
COL12A1	ITGA1	uniprot		CellPhoneDB	curated
COL12A1	ITGB1	uniprot		CellPhoneDB	curated
COL12A1	ITGA10	uniprot		CellPhoneDB	curated
COL12A1	ITGA11	uniprot		CellPhoneDB	curated
COL12A1	ITGA2	uniprot		CellPhoneDB	curated
COL13A1	ITGA1	uniprot		CellPhoneDB	curated
COL13A1	ITGB1	uniprot		CellPhoneDB	curated
COL13A1	ITGA10	uniprot		CellPhoneDB	curated
COL13A1	ITGA11	uniprot		CellPhoneDB	curated
COL13A1	ITGA2	uniprot		CellPhoneDB	curated
COL14A1	ITGA1	uniprot		CellPhoneDB	curated
COL14A1	ITGB1	uniprot		CellPhoneDB	curated
COL14A1	ITGA10	uniprot		CellPhoneDB	curated
COL14A1	ITGA11	uniprot		CellPhoneDB	curated
COL14A1	ITGA2	uniprot		CellPhoneDB	curated
COL15A1	ITGA1	uniprot		CellPhoneDB	curated
COL15A1	ITGB1	uniprot		CellPhoneDB	curated
COL15A1	ITGA10	uniprot		CellPhoneDB	curated
COL15A1	ITGA11	uniprot		CellPhoneDB	curated
COL15A1	ITGA2	uniprot		CellPhoneDB	curated
COL16A1	ITGA1	uniprot		CellPhoneDB	curated
COL16A1	ITGB1	uniprot		CellPhoneDB	curated
COL16A1	ITGA10	uniprot		CellPhoneDB	curated
COL16A1	ITGA11	uniprot		CellPhoneDB	curated
COL16A1	ITGA2	uniprot		CellPhoneDB	curated
COL17A1	ITGA1	uniprot		CellPhoneDB	curated
COL17A1	ITGB1	uniprot		CellPhoneDB	curated
COL17A1	ITGA10	uniprot		CellPhoneDB	curated
COL17A1	ITGA11	uniprot		CellPhoneDB	curated
COL17A1	ITGA2	uniprot		CellPhoneDB	curated
COL18A1	ITGA1	uniprot		CellPhoneDB	curated
COL18A1	ITGB1	uniprot		CellPhoneDB	curated
COL18A1	ITGA10	uniprot		CellPhoneDB	curated
COL18A1	ITGA11	uniprot		CellPhoneDB	curated
COL18A1	ITGA2	uniprot		CellPhoneDB	curated
COL19A1	ITGA1	uniprot		CellPhoneDB	curated
COL19A1	ITGB1	uniprot		CellPhoneDB	curated
COL19A1	ITGA10	uniprot		CellPhoneDB	curated
COL19A1	ITGA11	uniprot		CellPhoneDB	curated
COL19A1	ITGA2	uniprot		CellPhoneDB	curated
COL1A1	ITGA1	uniprot		CellPhoneDB	curated
COL1A1	ITGB1	uniprot		CellPhoneDB	curated
COL1A1	ITGA10	uniprot		CellPhoneDB	curated
COL1A1	ITGA11	uniprot		CellPhoneDB	curated
COL1A1	ITGA2	uniprot		CellPhoneDB	curated
COL1A2	ITGA1	uniprot		CellPhoneDB	curated
COL1A2	ITGB1	uniprot		CellPhoneDB	curated
COL1A2	ITGA10	uniprot		CellPhoneDB	curated
COL1A2	ITGA11	uniprot		CellPhoneDB	curated
COL1A2	ITGA2	uniprot		CellPhoneDB	curated
COL20A1	ITGA1	uniprot		CellPhoneDB	curated
COL20A1	ITGB1	uniprot		CellPhoneDB	curated
COL20A1	ITGA10	uniprot		CellPhoneDB	curated
COL20A1	ITGA11	uniprot		CellPhoneDB	curated
COL20A1	ITGA2	uniprot		CellPhoneDB	curated
COL21A1	ITGA1	uniprot		CellPhoneDB	curated
COL21A1	ITGB1	uniprot		CellPhoneDB	curated
COL21A1	ITGA10	uniprot		CellPhoneDB	curated
COL21A1	ITGA11	uniprot		CellPhoneDB	curated
COL21A1	ITGA2	uniprot		CellPhoneDB	curated
COL22A1	ITGA1	uniprot		CellPhoneDB	curated
COL22A1	ITGB1	uniprot		CellPhoneDB	curated
COL22A1	ITGA10	uniprot		CellPhoneDB	curated
COL22A1	ITGA11	uniprot		CellPhoneDB	curated
COL22A1	ITGA2	uniprot		CellPhoneDB	curated
COL24A1	ITGA1	uniprot		CellPhoneDB	curated
COL24A1	ITGB1	uniprot		CellPhoneDB	curated
COL24A1	ITGA10	uniprot		CellPhoneDB	curated
COL24A1	ITGA11	uniprot		CellPhoneDB	curated
COL24A1	ITGA2	uniprot		CellPhoneDB	curated
COL26A1	ITGA1	uniprot		CellPhoneDB	curated
COL26A1	ITGB1	uniprot		CellPhoneDB	curated
COL26A1	ITGA10	uniprot		CellPhoneDB	curated
COL26A1	ITGA11	uniprot		CellPhoneDB	curated
COL26A1	ITGA2	uniprot		CellPhoneDB	curated
COL27A1	ITGA1	uniprot		CellPhoneDB	curated
COL27A1	ITGB1	uniprot		CellPhoneDB	curated
COL27A1	ITGA10	uniprot		CellPhoneDB	curated
COL27A1	ITGA11	uniprot		CellPhoneDB	curated
COL27A1	ITGA2	uniprot		CellPhoneDB	curated
COL28A1	ITGA1	uniprot		CellPhoneDB	curated
COL28A1	ITGB1	uniprot		CellPhoneDB	curated
COL28A1	ITGA10	uniprot		CellPhoneDB	curated
COL28A1	ITGA11	uniprot		CellPhoneDB	curated
COL28A1	ITGA2	uniprot		CellPhoneDB	curated
COL2A1	ITGA1	uniprot		CellPhoneDB	curated
COL2A1	ITGB1	uniprot		CellPhoneDB	curated
COL2A1	ITGA10	uniprot		CellPhoneDB	curated
COL2A1	ITGA11	uniprot		CellPhoneDB	curated
COL2A1	ITGA2	uniprot		CellPhoneDB	curated
COL3A1	ADGRG1	uniprot;reactome;IUPHAR		CellPhoneDB	curated
COL3A1	ITGA1	uniprot		CellPhoneDB	curated
COL3A1	ITGB1	uniprot		CellPhoneDB	curated
COL3A1	ITGA10	uniprot		CellPhoneDB	curated
COL3A1	ITGA11	uniprot		CellPhoneDB	curated
COL3A1	ITGA2	uniprot		CellPhoneDB	curated
COL4A1	ADGRG6	uniprot;reactome;IUPHAR		CellPhoneDB	curated
COL4A1	ITGA1	uniprot		CellPhoneDB	curated
COL4A1	ITGB1	uniprot		CellPhoneDB	curated
COL4A1	ITGA10	uniprot		CellPhoneDB	curated
COL4A1	ITGA11	uniprot		CellPhoneDB	curated
COL4A1	ITGA2	uniprot		CellPhoneDB	curated
COL4A2	ADGRG6	uniprot;reactome;IUPHAR		CellPhoneDB	curated
COL4A2	ITGA1	uniprot		CellPhoneDB	curated
