ligand	receptor	sources	references	databases	n_databases
ADCYAP1	ADCYAP1R1	uniprot;reactome;IUPHAR		CellPhoneDB	1
ADCYAP1	VIPR1	uniprot;reactome;IUPHAR		CellPhoneDB	1
ADCYAP1	VIPR2	uniprot		CellPhoneDB	1
ADIPOQ	ADIPOR1	reactome		CellPhoneDB	1
ADIPOQ	ADIPOR2	reactome		CellPhoneDB	1
ADM	CALCRL	uniprot		CellPhoneDB	1
ADM	GPER1	uniprot		CellPhoneDB	1
ADM	RAMP3	uniprot		CellPhoneDB	1
ADM2	CALCRL	uniprot		CellPhoneDB	1
ADM2	GPER1	uniprot		CellPhoneDB	1
ADM2	RAMP2	uniprot		CellPhoneDB	1
ADM2	RAMP3	uniprot		CellPhoneDB	1
AGRN	LRP4	reactome		CellPhoneDB	1
AGRN	MUSK	reactome		CellPhoneDB	1
AGRN	PTPRS	reactome		CellPhoneDB	1
AGRP	MC2R	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	1
AGRP	MC3R	uniprot		CellPhoneDB	1
AGRP	MC4R	uniprot		CellPhoneDB	1
AGRP	MC5R	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	1
AGT	AGTR1	uniprot		CellPhoneDB	1
AGT	AGTR2	uniprot		CellPhoneDB	1
AKR1B1	PTGFR	HMRbase;uniprot;reactome		CellPhoneDB	1
AKR1C3	PTGDR	HMRbase;uniprot;reactome		CellPhoneDB	1
AKR1C3	PTGDR2	uniprot;reactome		CellPhoneDB	1
AKR1C3	PTGFR	uniprot;reactome;IUPHAR		CellPhoneDB	1
AKR1D1	AR	HMRbase;uniprot		CellPhoneDB	1
ALB	B2M	PDB:4n0;PDB:4k7		CellPhoneDB	1
ALB	FCGRT	PDB:4n0;PDB:4k7		CellPhoneDB	1
ALCAM	CD6	Reviewed_in_PMID:23602662		CellPhoneDB	1
ALDH1A1	CRABP2	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RARA	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RARB	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RARG	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RORB	uniprot		CellPhoneDB	1
ALDH1A1	RXRA	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RXRB	uniprot;reactome		CellPhoneDB	1
ALDH1A1	RXRG	uniprot;reactome		CellPhoneDB	1
ALDH1A2	CRABP2	uniprot;reactome		CellPhoneDB	1
ALDH1A2	RARA	uniprot;reactome		CellPhoneDB	1
ALDH1A2	RARB	uniprot;reactome		CellPhoneDB	1
