source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
MYC	TERT	0	0	10022128;10491298;10606235;10637317;10723141;10786671;10914736;11274400;11279234;11287602;11435602;11606399;11916966;12044867;12646176;12695333;12802280;12807729;12821782;12941894;12970752;14519204;14563552;14611815;14612409;14744757;15226182;15371341;15595642;15655249;15665468;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17706770;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18754863;18818322;19003324;19047367;19148473;19360348;19649288;19762557;19787269;19806010;19912441;20454512;20723213;21132266;21553143;21627565;21807113;21855630;21995449;22207128;23759068;23860446;24705139;9988278	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST
SPI1	BGLAP	0	0	10022617	ExTRI
SMAD3	JUN	0	0	10022869;12374795	ExTRI;NTNU.Curated;TFactS;TRRUST
SMAD4	JUN	0	0	10022869;12374795	ExTRI;NTNU.Curated;TFactS;TRRUST
STAT5A	IL2	0	0	10022878;11435608;17182565;17911616;22854263;24550509;24587342;7479881;8683106;8943338;9121484;9817603	ExTRI
STAT5B	IL2	0	0	10022878	ExTRI
RELA	FAS	0	0	10022897;10871852;11290773;11473033;16317104;16784892;19628709;22669972;23604035;9733827	ExTRI;NTNU.Curated;TRRUST
WT1	NR0B1	0	0	10022915;12151099	ExTRI;GEREDB
NR0B2	CASP1	0	0	10022928	ExTRI
SP1	ALDOA	0	0	10023068;8524331	DoRothEA-A;ExTRI;TFactS
TP53	IGF1R	0	0	10023442;11001824;12089352;12444079;15131018;16181796;17014845;17097318;17600529;20633551;22033326;24205274;8710868	ExTRI;GEREDB;NTNU.Curated;TRRUST
ZBTB16	CCNA2	0	0	10023668;11920165;14527952;18504436;20731660	DoRothEA-A;ExTRI;TRRUST
ETV6	IL3	0	0	10023677	ExTRI;NTNU.Curated
RUNX1	IL3	0	0	10023677;11997340;15735013;20506188;8180380;9036972	CytReg;DoRothEA-A;ExTRI;TRRUST
RUNX1	RHD	0	0	10023677	ExTRI
